,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
207,Jalen Johnson,ATL,64,32,32,14.5,15.7,8.6,1.0,0.0,1.9,2.5,1.1,6.5,7.0,
208,Jalen McDaniels,PHI,71,26,45,24.3,26.0,21.0,1.7,0.2,3.0,4.3,2.0,6.5,7.7,
209,Jalen Smith,IND,60,29,31,18.5,19.9,16.6,1.0,0.2,1.3,2.5,1.2,4.9,5.9,
210,Jalen Suggs,ORL,45,17,28,23.7,32.1,30.6,3.2,0.2,4.9,7.7,3.5,9.8,11.0,
211,Jalen Williams,OKC,66,33,33,29.9,31.7,33.0,3.2,0.4,5.5,8.2,3.8,10.2,12.0,
212,Jamal Cain,MIA,15,8,7,12.4,7.7,6.6,0.6,0.1,0.9,1.6,0.7,7.8,8.6,
213,Jamal Murray,DEN,58,39,19,33.0,49.1,60.4,6.1,0.9,10.4,15.1,7.6,12.4,15.4,
214,Jamaree Bouyea,WAS,5,2,3,14.1,19.6,18.2,0.8,0.0,1.4,1.8,1.0,4.1,5.1,
215,James Bouknight,CHA,26,5,21,13.6,11.9,13.1,1.1,0.0,1.7,2.5,1.1,9.0,9.0,
216,James Harden,PHI,53,36,17,36.9,70.0,79.0,10.8,1.2,17.5,28.1,13.6,15.5,19.5,
217,James Johnson,IND,14,6,8,8.8,8.6,8.6,0.7,0.1,1.8,2.1,0.9,8.3,10.7,
218,James Wiseman,DET,36,10,26,18.3,21.8,13.1,0.6,0.0,1.1,1.7,0.7,2.9,3.2,
